name,mass,quantity,price,proteins,fats,carbohydrates,calories,link
Говядина томленая в гранатовом соке с картофельным пюре и фасолью,250.0,14,298,6.1,5.7,11.2,120.5,https://rtw.vkusvill.ru/goods/govyadina-tomlenaya-v-granatovom-soke-s-kartofelnym-pyure-i-fasolyu-71656.html
Суп «Чучвара» с пельменями из говядины и баранины,400.0,0,268,3.2,4.9,15.3,118.1,https://rtw.vkusvill.ru/goods/sup-chuchvara-s-pelmenyami-iz-govyadiny-i-baraniny-71221.html
Салат по-гречески с сыром «Фета»,188.0,2,328,2.9,15,5.7,169.4,https://rtw.vkusvill.ru/goods/salat-po-grecheski-s-syrom-feta-81525.html
"Котлеты мясные Домашние с макаронами, 500 г",500.0,4,390,11.1,8,14.8,175.6,https://rtw.vkusvill.ru/goods/kotlety-myasnye-domashnie-s-makaronami-500-g-75505.html
"Салат оливье с колбасой без майонеза, 600 г",600.0,0,450,6,6.2,6.3,105,https://rtw.vkusvill.ru/goods/salat-olive-s-kolbasoy-bez-mayoneza-600-g-41152.html
Блины шоколадные с маскарпоне и вишней,210.0,6,197,,,,,https://rtw.vkusvill.ru/goods/bliny-shokoladnye-s-maskarpone-i-vishney-37284.html
Картофельная запеканка с грибами постная,240.0,7,248,2.4,9,14.6,149,https://rtw.vkusvill.ru/goods/kartofelnaya-zapekanka-s-gribami-postnaya-51243.html
Салат «Крабовый»,160.0,14,218,5.6,16.4,10.7,212,https://rtw.vkusvill.ru/goods/salat-krabovyy-64073.html
"Вареники с картофелем и грибами, 245 г",245.0,0,166,5.1,2.3,30.6,163.5,https://rtw.vkusvill.ru/goods/vareniki-s-kartofelem-i-gribami-245-g-48668.html
Куриное филе с грибами и соусом с томленым картофелем,230.0,0,228,16.6,12.5,9.1,215.3,https://rtw.vkusvill.ru/goods/kurinoe-file-s-gribami-i-sousom-s-tomlenym-kartofelem-76366.html
Салат с курицей и жареными шампиньонами,180.0,12,188,,,,,https://rtw.vkusvill.ru/goods/salat-s-kuritsey-i-zharenymi-shampinonami-39456.html
Крем-суп из печеного картофеля с белыми грибами и трюфельным маслом,300.0,0,288,2.5,12.7,13.2,177.1,https://rtw.vkusvill.ru/goods/krem-sup-iz-pechenogo-kartofelya-s-belymi-gribami-i-tryufelnym-maslom-81565.html
"Салат «Столичный», 600 г",600.0,0,490,7,7.1,7.4,121.5,https://rtw.vkusvill.ru/goods/salat-stolichnyy-600-g-42134.html
Онигири с креветкой,100.0,16,176,7,3.8,36.4,207.8,https://rtw.vkusvill.ru/goods/onigiri-s-krevetkoy-76931.html
"Пирожки с яблочной начинкой, 160 г (4 шт)",160.0,6,172,4.3,5.4,44.7,244.6,https://rtw.vkusvill.ru/goods/pirozhki-s-yablochnoy-nachinkoy-160-g-4-sht-78477.html
Омлет с сыром и шпинатом,165.0,6,198,6.5,11.8,15.7,193.8,https://rtw.vkusvill.ru/goods/omlet-s-syrom-i-shpinatom-30211.html
Набор роллов «Норикура» (из 4 видов роллов),465.0,0,980,,,,,https://rtw.vkusvill.ru/goods/nabor-rollov-norikura-iz-4-vidov-rollov-84958.html
Паста «Фузилли» с сыром,250.0,3,206,9.1,4.4,38.2,228.8,https://rtw.vkusvill.ru/goods/pasta-fuzilli-s-syrom-75476.html
"Пирог осетинский «Картофель с сыром», 250 г",250.0,10,190,,,,,https://rtw.vkusvill.ru/goods/pirog-osetinskiy-kartofel-s-syrom-250-g-27966.html
Блинчики с вареной сгущенкой,190.0,0,205,3,16.7,36,306.3,https://rtw.vkusvill.ru/goods/blinchiki-s-varenoy-sgushchenkoy-44765.html
Борщ вегетарианский,300.0,0,208,1.3,3.3,9.6,73.7,https://rtw.vkusvill.ru/goods/borshch-vegetarianskiy-55152.html
"Шницель куриный с картофельным пюре, 305 г",305.0,0,398,6.7,6.8,14.8,147.2,https://rtw.vkusvill.ru/goods/shnitsel-kurinyy-s-kartofelnym-pyure-305-g-52955.html
"Суп «Рассольник» с курицей, 1 кг",1000.0,7,430,2.8,0.5,3.9,31.3,https://rtw.vkusvill.ru/goods/sup-rassolnik-s-kuritsey-1-kg-60658.html
"Котлеты из свинины и говядины, 300 г",300.0,17,420,21.4,12.1,2.6,204.9,https://rtw.vkusvill.ru/goods/kotlety-iz-svininy-i-govyadiny-300-g-63899.html
Суп «Том ям» вегетарианский,270.0,2,198,1.4,4.3,7.5,74.3,https://rtw.vkusvill.ru/goods/sup-tom-yam-vegetarianskiy-73608.html
