name,mass,quantity,price,proteins,fats,carbohydrates,calories,link
Котлета куриная с карт. пюре и овощами,250.0,4,210,10.1,7.3,6.5,132.1,https://rtw.vkusvill.ru/goods/kotleta-kurinaya-s-kart-pyure-i-ovoshchami-29021.html
Лепешка «Индийская» с картофелем и карри (постная),160.0,10,150,6.6,5.4,36.3,220.2,https://rtw.vkusvill.ru/goods/lepeshka-indiyskaya-s-kartofelem-i-karri-postnaya-65385.html
Ролл с креветкой и семгой,223.0,12,420,7.6,7.8,26.6,207,https://rtw.vkusvill.ru/goods/roll-s-krevetkoy-i-semgoy-65383.html
Салат винегрет с маринованной капустой,180.0,8,130,,,,,https://rtw.vkusvill.ru/goods/salat-vinegret-s-marinovannoy-kapustoy-20665.html
Сырники творожные со сметаной,265.0,0,247,14.23,10.58,18.42,227,https://rtw.vkusvill.ru/goods/syrniki-tvorozhnye-so-smetanoy-64451.html
Жюльен «Грибной» с шампиньонами и белыми грибами,110.0,8,153,,,,,https://rtw.vkusvill.ru/goods/zhyulen-gribnoy-s-shampinonami-i-belymi-gribami-71219.html
"Пирожки жареные с мясом (бездрожжевые), 4 шт",340.0,4,315,10.5,13.8,27.4,275.8,https://rtw.vkusvill.ru/goods/pirozhki-zharenye-s-myasom-bezdrozhzhevye-4-sht-84525.html
Набор: Салат Витаминный + Плов с курицей,150.0,8,310,,,,,https://rtw.vkusvill.ru/goods/nabor-salat-vitaminnyy-plov-s-kuritsey-35710.html
Сырники творожные,,2,610,,,,,https://rtw.vkusvill.ru/goods/syrniki-tvorozhnye-1642.html
"Пирог осетинский с картофелем и сыром, 500 г",500.0,6,344,9,7,24,195,https://rtw.vkusvill.ru/goods/pirog-osetinskiy-s-kartofelem-i-syrom-500-g-22540.html
Запеканка с манго,200.0,5,178,12.8,4,17.7,158,https://rtw.vkusvill.ru/goods/zapekanka-s-mango-76458.html
Кукуруза гриль с соусом,245.0,0,189,4.01,6.06,19.19,146,https://rtw.vkusvill.ru/goods/kukuruza-gril-s-sousom-70771.html
"Каша рисовая молочная, 250 г",250.0,22,180,1.5,4,14,98,https://rtw.vkusvill.ru/goods/kasha-risovaya-molochnaya-250-g-72848.html
Салат «Царская Охота»,200.0,10,220,12.1,19.5,4.4,241.5,https://rtw.vkusvill.ru/goods/salat-tsarskaya-okhota-43199.html
Котлета Пожарская с картофельным пюре,240.0,10,236,17.8,12.5,13.8,238.9,https://rtw.vkusvill.ru/goods/kotleta-pozharskaya-s-kartofelnym-pyure-39543.html
Филе форели на пару,170.0,4,530,,,,,https://rtw.vkusvill.ru/goods/file-foreli-na-paru-75130.html
Хачапури по-мегрельски,150.0,0,203,14.1,19,28.3,340.6,https://rtw.vkusvill.ru/goods/khachapuri-po-megrelski-76365.html
Сэндвич ролл с индейкой су-вид_РП,160.0,0,178,8.1,7.1,23.8,191.5,https://rtw.vkusvill.ru/goods/sendvich-roll-s-indeykoy-su-vid-rp-81380.html
Картофельное пюре с куриными колбасками,240.0,0,228,9.2,5.7,9.8,127.3,https://rtw.vkusvill.ru/goods/kartofelnoe-pyure-s-kurinymi-kolbaskami-76367.html
Говядина «Провансаль» с гречкой,220.0,0,238,7.9,4.5,16.6,138.5,https://rtw.vkusvill.ru/goods/govyadina-provansal-s-grechkoy-71456.html
Фасоль с арахисом,195.0,0,154,3.6,6.5,5.4,95,https://rtw.vkusvill.ru/goods/fasol-s-arakhisom-56756.html
Шакшука «Классическая»,290.0,0,257,6.7,8.82,3.41,121,https://rtw.vkusvill.ru/goods/shakshuka-klassicheskaya-76973.html
"Запеканка творожная, 250 г",250.0,17,176,11.1,3.5,23.7,170.7,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-250-g-39363.html
"Камбала жареная, вес",,1,793,13.5,12.4,6,193,https://rtw.vkusvill.ru/goods/kambala-zharenaya-ves-54400.html
Кутабы с курицей,150.0,0,202,17,15.1,29.8,323.1,https://rtw.vkusvill.ru/goods/kutaby-s-kuritsey-40262.html
Лапша удон «Овощи и курица»,200.0,8,248,,,,,https://rtw.vkusvill.ru/goods/lapsha-udon-ovoshchi-i-kuritsa-41138.html
Щи из свежей капусты с курицей,390.0,4,214,2.2,2.8,2.9,45.6,https://rtw.vkusvill.ru/goods/shchi-iz-svezhey-kapusty-s-kuritsey-59039.html
"Капуста квашеная, 300 г",300.0,67,111,1.3,0.2,9.5,50,https://rtw.vkusvill.ru/goods/kapusta-kvashenaya-300-g-29812.html
Заливное из индейки,300.0,17,275,,,,,https://rtw.vkusvill.ru/goods/zalivnoe-iz-indeyki-15275.html
Клаб-сэндвич с курицей и яйцом,170.0,10,188,13.3,14.3,31.5,307.9,https://rtw.vkusvill.ru/goods/klab-sendvich-s-kuritsey-i-yaytsom-63727.html
"Бефстроганов из говядины с картофельным пюре, 350 г",350.0,8,390,12.2,9.6,12.7,186,https://rtw.vkusvill.ru/goods/befstroganov-iz-govyadiny-s-kartofelnym-pyure-350-g-60823.html
"Картофельное пюре, 500 г",500.0,20,242,2.1,8.3,15.2,143.9,https://rtw.vkusvill.ru/goods/kartofelnoe-pyure-500-g-68797.html
"Чуду с фасолью и грецким орехом, постный, 2 шт",140.0,3,165,7.2,7.4,33.6,229.8,https://rtw.vkusvill.ru/goods/chudu-s-fasolyu-i-gretskim-orekhom-postnyy-2-sht-73697.html
Салат с крабом и цитрусовой заправкой,160.0,0,468,6.1,9.7,3.1,124.1,https://rtw.vkusvill.ru/goods/salat-s-krabom-i-tsitrusovoy-zapravkoy-82058.html
Суп «Харчо» из баранины (с грецкими орехами и соусом ткемали),390.0,0,338,7.5,4.1,6.4,92.5,https://rtw.vkusvill.ru/goods/sup-kharcho-iz-baraniny-s-gretskimi-orekhami-i-sousom-tkemali-83096.html
Биточек из говядины с капустой и картофельным пюре,200.0,2,198,4.6,7.5,11.8,133.1,https://rtw.vkusvill.ru/goods/bitochek-iz-govyadiny-s-kapustoy-i-kartofelnym-pyure-76459.html
Сырные палочки с клюквенно-брусничным соусом,150.0,4,228,15.1,12.7,24.2,271.5,https://rtw.vkusvill.ru/goods/syrnye-palochki-s-klyukvenno-brusnichnym-sousom-77170.html
Бургер «Лайт» без бекона и лука,325.0,0,435,8.8,21.7,15.5,294,https://rtw.vkusvill.ru/goods/burger-layt-bez-bekona-i-luka-81149.html
Котлета куриная на пару фаршированная брокколи,200.0,6,228,21.4,17.7,5,264.9,https://rtw.vkusvill.ru/goods/kotleta-kurinaya-na-paru-farshirovannaya-brokkoli-68288.html
Лазанья мясная,230.0,14,342,,,,,https://rtw.vkusvill.ru/goods/lazanya-myasnaya-18326.html
Борщ с мраморной говядиной,310.0,0,247,7.9,4.8,3.5,88.8,https://rtw.vkusvill.ru/goods/borshch-s-mramornoy-govyadinoy-44771.html
Пицца-мини «Кальцоне» с курицей,180.0,0,204,10.8,5.6,27.8,204.8,https://rtw.vkusvill.ru/goods/pitstsa-mini-kaltsone-s-kuritsey-79757.html
"Онигири ( с филе тунца, с филе форели) с соевым соусом, 2 шт",250.0,2,378,,,,,https://rtw.vkusvill.ru/goods/onigiri-s-file-tuntsa-s-file-foreli-s-soevym-sousom-2-sht-79481.html
Чиабатта с курицей_РП,205.0,0,238,10.3,5.1,21.1,171.5,https://rtw.vkusvill.ru/goods/chiabatta-s-kuritsey-rp-81374.html
Крылья куриные с соусом барбекю,250.0,0,292,12.7,17.6,18.3,286,https://rtw.vkusvill.ru/goods/krylya-kurinye-s-sousom-barbekyu-79521.html
Круассан с сервелатом и сыром,160.0,0,254,12.91,20.19,24.86,332,https://rtw.vkusvill.ru/goods/kruassan-s-servelatom-i-syrom-66567.html
"Суп-гуляш с говядиной, 300 г",310.0,0,320,5.0,1.7,6.9,62.9,https://rtw.vkusvill.ru/goods/sup-gulyash-s-govyadinoy-300-g-46333.html
"Молоки лососевых рыб жареные, 200 г",200.0,6,145,26.2,10.4,4.2,215.2,https://rtw.vkusvill.ru/goods/moloki-lososevykh-ryb-zharenye-200-g-63113.html
Не «мясная» пита в белом,275.0,0,321,8.67,2.89,20.86,149,https://rtw.vkusvill.ru/goods/ne-myasnaya-pita-v-belom-70042.html
"Вареники с творогом, 265 г",265.0,0,227,9.18,13.59,26.24,266,https://rtw.vkusvill.ru/goods/vareniki-s-tvorogom-265-g-62048.html
"Пицца «Пепперони Салями», охлажденная",400.0,5,410,11.9,9.4,30.6,254.6,https://rtw.vkusvill.ru/goods/pitstsa-pepperoni-salyami-okhlazhdennaya-74471.html
"Паста «Болоньезе», 250 гр._РП",250.0,0,240,7.2,6,16,146.8,https://rtw.vkusvill.ru/goods/pasta-boloneze-250-gr-rp-75659.html
Котлета куриная с фарфалле,200.0,6,188,16.5,3.8,21.3,185.4,https://rtw.vkusvill.ru/goods/kotleta-kurinaya-s-farfalle-75244.html
Филе семги на пару с овощами,230.0,4,452,8.2,5.9,3.7,100.7,https://rtw.vkusvill.ru/goods/file-semgi-na-paru-s-ovoshchami-77530.html
Комбо-обед Вегетарианский (суп+второе+напиток),720.0,0,462,13,18,116,676,https://rtw.vkusvill.ru/goods/kombo-obed-vegetarianskiy-sup-vtoroe-napitok-85719.html
Каша гречневая с грибами и луком,200.0,0,155,3.1,6.3,15.4,130.7,https://rtw.vkusvill.ru/goods/kasha-grechnevaya-s-gribami-i-lukom-58722.html
Котлетка из цыпленка с булгуром и овощами_РП,250.0,0,250,9,4.8,30.5,215,https://rtw.vkusvill.ru/goods/kotletka-iz-tsyplenka-s-bulgurom-i-ovoshchami-rp-70268.html
Тефтельки из индейки с тыквенно-апельсиновым муссом и брокколи_РП,230.0,0,260,6.6,6.4,8.2,116.8,https://rtw.vkusvill.ru/goods/teftelki-iz-indeyki-s-tykvenno-apelsinovym-mussom-i-brokkoli-rp-76810.html
Блины пшеничные_РП,200.0,0,114,4.3,13.2,34.9,275.6,https://rtw.vkusvill.ru/goods/bliny-pshenichnye-rp-80550.html
Каша рисовая с манговым топингом,300.0,10,182,1.7,0.3,17.4,79.1,https://rtw.vkusvill.ru/goods/kasha-risovaya-s-mangovym-topingom-67453.html
Суп солянка с каперсами,270.0,4,188,3,2.6,4.3,52.6,https://rtw.vkusvill.ru/goods/sup-solyanka-s-kapersami-40050.html
Блинчики «Цезарь»,196.0,4,216,12.5,12.1,15,218.9,https://rtw.vkusvill.ru/goods/blinchiki-tsezar-25023.html
"Лепешка с зеленью, грибами и сыром",180.0,2,242,8.9,10.8,24,228.8,https://rtw.vkusvill.ru/goods/lepeshka-s-zelenyu-gribami-i-syrom-71179.html
Кутабы с сыром и помидорами,150.0,4,190,16.1,10.6,29.4,277.4,https://rtw.vkusvill.ru/goods/kutaby-s-syrom-i-pomidorami-48165.html
"Сэндвич с лососем и яичным салатом, кафе",200.0,2,250,14.2,13.6,24.7,278,https://rtw.vkusvill.ru/goods/sendvich-s-lososem-i-yaichnym-salatom-kafe-56837.html
"Каша овсяная молочная с яблоком и корицей, 215 г",215.0,14,138,2.8,1.4,11,67.8,https://rtw.vkusvill.ru/goods/kasha-ovsyanaya-molochnaya-s-yablokom-i-koritsey-215-g-68084.html
Панкейки банановые с клубникой и сгущенным молоком,220.0,0,319,5.1,17.03,35.05,315,https://rtw.vkusvill.ru/goods/pankeyki-bananovye-s-klubnikoy-i-sgushchennym-molokom-68178.html
Паста с курицей гриль и сливочно-томатным соусом_РП,235.0,0,226,15.2,20.3,16.5,309.5,https://rtw.vkusvill.ru/goods/pasta-s-kuritsey-gril-i-slivochno-tomatnym-sousom-rp-72561.html
Щи из квашеной капусты с грибами по-монастырски,350.0,0,158,1,0.4,7.2,36.4,https://rtw.vkusvill.ru/goods/shchi-iz-kvashenoy-kapusty-s-gribami-po-monastyrski-65174.html
"Пирожки «Курица, томат, сыр», 2 шт",120.0,0,136,11.8,16.4,27.1,303.2,https://rtw.vkusvill.ru/goods/pirozhki-kuritsa-tomat-syr-2-sht-80705.html
"Салат мимоза с семгой горячего копчения, 300 г",300.0,4,410,14.3,16.3,7.9,235.5,https://rtw.vkusvill.ru/goods/salat-mimoza-s-semgoy-goryachego-kopcheniya-300-g-71709.html
Блины пшеничные,200.0,20,154,,,,,https://rtw.vkusvill.ru/goods/bliny-pshenichnye-19345.html
Ассорти роллов «Киото»,190.0,2,378,6.1,3.3,27,162.1,https://rtw.vkusvill.ru/goods/assorti-rollov-kioto-71188.html
Куриный кармашек с картофелем и розмарином,300.0,8,270,10.4,4,11.8,125.7,https://rtw.vkusvill.ru/goods/kurinyy-karmashek-s-kartofelem-i-rozmarinom-22490.html
Суп-пюре овощной,300.0,0,146,1.1,2.9,3.0,43.0,https://rtw.vkusvill.ru/goods/sup-pyure-ovoshchnoy-29025.html
Кальмар «Гриль» с рисом,250.0,7,311,4.9,7.1,29.2,200,https://rtw.vkusvill.ru/goods/kalmar-gril-s-risom-50397.html
Салат «Коул Слоу» из овощей,140.0,16,148,1.2,9.2,6.3,112.8,https://rtw.vkusvill.ru/goods/salat-koul-slou-iz-ovoshchey-38701.html
Хот-Дог Цезарь,165.0,0,315,12.52,12.47,17.3,228,https://rtw.vkusvill.ru/goods/khot-dog-tsezar-70737.html
Заливное из семги,170.0,4,248,6,3.5,1,59.5,https://rtw.vkusvill.ru/goods/zalivnoe-iz-semgi-66170.html
"Креветки «Королевские» неразделанные вареные 50/60 охл., 250 г",250.0,2,325,,,,,https://rtw.vkusvill.ru/goods/krevetki-korolevskie-nerazdelannye-varenye-50-60-okhl-250-g-83456.html
"Чебуреки с мясом, 240 г",240.0,8,330,9.3,16.5,22.5,275.7,https://rtw.vkusvill.ru/goods/chebureki-s-myasom-240-g-72683.html
"Салат «Оливье» с колбасой без майонеза, 1 кг",1000.0,0,948,,,,,https://rtw.vkusvill.ru/goods/salat-olive-s-kolbasoy-bez-mayoneza-1-kg-84805.html
Салат со свеклой «Идиллия»,150.0,0,118,1.5,10.5,8.9,136.1,https://rtw.vkusvill.ru/goods/salat-so-svekloy-idilliya-34834.html
"Салат «Оливье вегетарианский», 600 г",600.0,0,490,1.7,8.7,8.1,117.5,https://rtw.vkusvill.ru/goods/salat-olive-vegetarianskiy-600-g-58107.html
"Биточки из курицы и капусты, 480 г",480.0,4,430,13.8,4.8,4.9,118,https://rtw.vkusvill.ru/goods/bitochki-iz-kuritsy-i-kapusty-480-g-76795.html
Розанчики творожно-сливочные с мандарином и корицей с наполнителем «Персик»,120.0,3,198,6.7,21.5,20.8,303.5,https://rtw.vkusvill.ru/goods/rozanchiki-tvorozhno-slivochnye-s-mandarinom-i-koritsey-s-napolnitelem-persik-85870.html
Колбаска «Баварская» (2 шт.) на шпажке с картофельным пюре,385.0,0,498,7.5,14.9,8.4,197.7,https://rtw.vkusvill.ru/goods/kolbaska-bavarskaya-2-sht-na-shpazhke-s-kartofelnym-pyure-52943.html
"Судак филе-кусок без кожи в кляре жареный, вес",,0,1 795,18,1,5,101,https://rtw.vkusvill.ru/goods/sudak-file-kusok-bez-kozhi-v-klyare-zharenyy-ves-85501.html
Цыпленок карри с лапшой удон_РП,250.0,0,275,10.47,5.75,10.77,140,https://rtw.vkusvill.ru/goods/tsyplenok-karri-s-lapshoy-udon-rp-70263.html
Сэндвич ролл с курицей Том Ям,170.0,2,228,11.4,12,25.9,257.2,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-tom-yam-69758.html
"Салат «Оливье» с колбасой, 600 грамм",600.0,0,460,4.2,13.1,6.7,161.5,https://rtw.vkusvill.ru/goods/salat-olive-s-kolbasoy-600-gramm-71636.html
Голубцы ленивые из мяса птицы,200.0,14,198,,,,,https://rtw.vkusvill.ru/goods/golubtsy-lenivye-iz-myasa-ptitsy-61601.html
Морковь по-корейски,275.0,17,105,,,,,https://rtw.vkusvill.ru/goods/morkov-po-koreyski-14577.html
"Салат «Мимоза», 600 грамм",600.0,0,498,8.3,18.5,8,231.7,https://rtw.vkusvill.ru/goods/salat-mimoza-600-gramm-71635.html
"Салат с рукколой и моцареллой, 150 г",150.0,6,276,5.9,13.6,5.8,169.2,https://rtw.vkusvill.ru/goods/salat-s-rukkoloy-i-motsarelloy-150-g-45342.html
Курица «Терияки» с рисом по-сингапурски,250.0,0,248,8.7,7.2,42.3,269,https://rtw.vkusvill.ru/goods/kuritsa-teriyaki-s-risom-po-singapurski-22639.html
Оладьи печеночные,150.0,4,228,12.5,13.5,12.9,223.1,https://rtw.vkusvill.ru/goods/oladi-pechenochnye-23996.html
Щечка телячья томленая,300.0,2,576,17,7,1,135,https://rtw.vkusvill.ru/goods/shchechka-telyachya-tomlenaya-47835.html
Лосось атлантический (семга) филе на коже на гриле 160г,160.0,0,616,,,,,https://rtw.vkusvill.ru/goods/losos-atlanticheskiy-semga-file-na-kozhe-na-grile-160g-75788.html
Шницель куриный с рисом_РП,250.0,0,197,8.8,7.3,22.9,192.5,https://rtw.vkusvill.ru/goods/shnitsel-kurinyy-s-risom-rp-77186.html
"Блины овсяные, 6 шт",320.0,20,220,6.1,11.8,18.6,205,https://rtw.vkusvill.ru/goods/bliny-ovsyanye-6-sht-59996.html
Шаурма грузинская,240.0,10,284,17.6,14.9,12,252.5,https://rtw.vkusvill.ru/goods/shaurma-gruzinskaya-69753.html
Плов с курицей,250.0,16,218,,,,,https://rtw.vkusvill.ru/goods/plov-s-kuritsey-28799.html
Ролл «Филадельфия» с форелью,255.0,0,540,8.2,3.8,22,155,https://rtw.vkusvill.ru/goods/roll-filadelfiya-s-forelyu-76446.html
"Сэндвич с овощами гриль, сулугуни и соусом песто, кафе",245.0,4,190,9.3,11.2,27,246,https://rtw.vkusvill.ru/goods/sendvich-s-ovoshchami-gril-suluguni-i-sousom-pesto-kafe-56840.html
Суп турецкий с чечевицей_РП,300.0,0,165,4,4,10,93.3,https://rtw.vkusvill.ru/goods/sup-turetskiy-s-chechevitsey-rp-79284.html
Суп «Мисо»,250.0,0,178,3.3,0.5,2.6,28.1,https://rtw.vkusvill.ru/goods/sup-miso-77849.html
"Блины с яблоком, 210 г",210.0,12,176,5.2,12,32.1,239,https://rtw.vkusvill.ru/goods/bliny-s-yablokom-210-g-16942.html
Ролл «Симфония» с креветкой,180.0,10,330,5.5,10.5,23.7,211.3,https://rtw.vkusvill.ru/goods/roll-simfoniya-s-krevetkoy-50389.html
Комбо-обед (суп + второе + десерт),700.0,0,605,52,63,123,1262,https://rtw.vkusvill.ru/goods/kombo-obed-sup-vtoroe-desert-84276.html
Английский завтрак,315.0,0,440,8.39,13.4,11.53,197,https://rtw.vkusvill.ru/goods/angliyskiy-zavtrak-53931.html
Фетучини в соусе со свининой и шампиньонами,240.0,8,248,8.2,6.6,21.2,177,https://rtw.vkusvill.ru/goods/fetuchini-v-souse-so-svininoy-i-shampinonami-22384.html
"Салат с тунцом, фасолью и яблоком",180.0,10,216,3.7,3,13.7,96.6,https://rtw.vkusvill.ru/goods/salat-s-tuntsom-fasolyu-i-yablokom-38608.html
"Салат «Мимоза», 180 грамм",180.0,0,188,8.3,18.5,8,231.7,https://rtw.vkusvill.ru/goods/salat-mimoza-180-gramm-68095.html
"Пирожок с мясом 45г, кафе",45.0,4,70,,,,,https://rtw.vkusvill.ru/goods/pirozhok-s-myasom-45g-kafe-54421.html
Паста «Болоньезе»,250.0,3,280,9.2,4.8,23,172,https://rtw.vkusvill.ru/goods/pasta-boloneze-25044.html
Паста «Фетучини» с курицей и соусом «Песто»,270.0,0,427,8.4,6.7,15.6,156.3,https://rtw.vkusvill.ru/goods/pasta-fetuchini-s-kuritsey-i-sousom-pesto-70065.html
"Салат из кальмаров с яйцом, 160 г",160.0,6,298,12,13,3.2,177.8,https://rtw.vkusvill.ru/goods/salat-iz-kalmarov-s-yaytsom-160-g-68122.html
Крок Мадам,305.0,0,301,13.05,14.93,9.98,227,https://rtw.vkusvill.ru/goods/krok-madam-54374.html
Сырники творожные с начинкой «Манго-Маракуйя»,260.0,0,300,12.8,10.9,19.3,227,https://rtw.vkusvill.ru/goods/syrniki-tvorozhnye-s-nachinkoy-mango-marakuyya-76166.html
Филе минтая под сыром с картофельным пюре,315.0,0,390,7.6,11.1,11.2,175,https://rtw.vkusvill.ru/goods/file-mintaya-pod-syrom-s-kartofelnym-pyure-82629.html
Запеканка картофельная с мясом,240.0,12,312,5.1,5.9,10.4,115,https://rtw.vkusvill.ru/goods/zapekanka-kartofelnaya-s-myasom-30218.html
Куриная котлета-гриль,200.0,4,271,20.3,11.9,4.1,204.7,https://rtw.vkusvill.ru/goods/kurinaya-kotleta-gril-43175.html
"Блинчики мини с мясом, 400 г",400.0,0,305,10.6,13.1,23.2,253.1,https://rtw.vkusvill.ru/goods/blinchiki-mini-s-myasom-400-g-71324.html
Профитроли с творожным сыром и грибами,155.0,4,248,7.7,24.7,12.6,303.5,https://rtw.vkusvill.ru/goods/profitroli-s-tvorozhnym-syrom-i-gribami-71580.html
"Салат свекольный с грецким орехом, 200 грамм",200.0,0,156,1.9,6,9.6,100,https://rtw.vkusvill.ru/goods/salat-svekolnyy-s-gretskim-orekhom-200-gramm-62455.html
"Сырники с малиновой начинкой, 480 г",480.0,6,504,14.4,12.8,21.8,260,https://rtw.vkusvill.ru/goods/syrniki-s-malinovoy-nachinkoy-480-g-69757.html
Онигири с курицей «Терияки»,100.0,6,140,7,1.9,30.1,165.5,https://rtw.vkusvill.ru/goods/onigiri-s-kuritsey-teriyaki-77167.html
Филе семги на пару с овощным гарниром,230.0,4,418,7.9,6.4,1.8,96.4,https://rtw.vkusvill.ru/goods/file-semgi-na-paru-s-ovoshchnym-garnirom-27193.html
"Салат «Крабовый», 600 г",600.0,0,550,5.7,15.9,11.3,211.1,https://rtw.vkusvill.ru/goods/salat-krabovyy-600-g-71193.html
"Картоф. пюре, капуста по-баварски, с колбасками по-нюрнбергски и горч. соусом",330.0,10,320,5.5,14.4,12.6,202,https://rtw.vkusvill.ru/goods/kartof-pyure-kapusta-po-bavarski-s-kolbaskami-po-nyurnbergski-i-gorch-sousom-41132.html
"Бифштекс из говядины с картофелем, 500 г",500.0,4,480,10.3,4.6,11.3,127.8,https://rtw.vkusvill.ru/goods/bifshteks-iz-govyadiny-s-kartofelem-500-g-50172.html
Суп-крем куриный_РП,330.0,0,188,4.1,5.6,4,82.8,https://rtw.vkusvill.ru/goods/sup-krem-kurinyy-rp-79900.html
Филе минтая под сыром с рисом,290.0,0,420,8.9,14.6,19.8,251,https://rtw.vkusvill.ru/goods/file-mintaya-pod-syrom-s-risom-82628.html
"Пирожки жареные с картошкой, сыром и укропом",160.0,6,167,10.7,8,32.2,243.6,https://rtw.vkusvill.ru/goods/pirozhki-zharenye-s-kartoshkoy-syrom-i-ukropom-78054.html
"Салат «Цезарь» с курицей, 450 г",450.0,4,590,10.1,19.3,5.6,236.5,https://rtw.vkusvill.ru/goods/salat-tsezar-s-kuritsey-450-g-58174.html
"Суп «Уха», 270 г",270.0,4,188,3.6,1.9,2.6,41.9,https://rtw.vkusvill.ru/goods/sup-ukha-270-g-82086.html
Котлета куриная с карт. пюре,250.0,0,216,,,,,https://rtw.vkusvill.ru/goods/kotleta-kurinaya-s-kart-pyure-24006.html
Салат Кобб с имбирным соусом,240.0,14,258,,,,,https://rtw.vkusvill.ru/goods/salat-kobb-s-imbirnym-sousom-23073.html
Бургер куриный «Цезарь»,246.0,0,395,13.08,13.58,9.66,218,https://rtw.vkusvill.ru/goods/burger-kurinyy-tsezar-43102.html
Заливное с говядиной и овощами,300.0,6,245,12,6,4,118,https://rtw.vkusvill.ru/goods/zalivnoe-s-govyadinoy-i-ovoshchami-40051.html
"Парфе-гранола с голубикой, клубникой и йогуртом",330.0,0,244,6,5,13.4,123.5,https://rtw.vkusvill.ru/goods/parfe-granola-s-golubikoy-klubnikoy-i-yogurtom-53266.html
Вертута с капустой,250.0,8,177,4.7,8.2,30.7,215.4,https://rtw.vkusvill.ru/goods/vertuta-s-kapustoy-76059.html
"Пирожки с рисом, яйцом и зеленым луком",140.0,3,130,9.4,24.2,47.7,446.2,https://rtw.vkusvill.ru/goods/pirozhki-s-risom-yaytsom-i-zelenym-lukom-70863.html
Борщ с томлеными говяжьими щечками,390.0,4,318,8.7,4.6,8.6,110.6,https://rtw.vkusvill.ru/goods/borshch-s-tomlenymi-govyazhimi-shchechkami-82975.html
Сэндвич ролл с горбушей и яйцом,155.0,16,208,6.5,13,22.1,231.4,https://rtw.vkusvill.ru/goods/sendvich-roll-s-gorbushey-i-yaytsom-22664.html
Шницель куриный в яйце с картофельным пюре,210.0,2,268,,,,,https://rtw.vkusvill.ru/goods/shnitsel-kurinyy-v-yaytse-s-kartofelnym-pyure-62637.html
Сэндвич ролл с курицей и соусом «Дор-Блю»,157.0,22,208,9,11.4,28.6,253,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-i-sousom-dor-blyu-23954.html
Вок с говядиной_РП,250.0,0,250,6.4,2.6,19.2,128,https://rtw.vkusvill.ru/goods/vok-s-govyadinoy-rp-79291.html
Онигири с креветками «Эби Чили»,100.0,0,188,6.6,0.9,25.2,135.3,https://rtw.vkusvill.ru/goods/onigiri-s-krevetkami-ebi-chili-43006.html
Бутерброд с тунцом и базиликом,78.0,9,132,11.4,9.5,27.4,240.7,https://rtw.vkusvill.ru/goods/buterbrod-s-tuntsom-i-bazilikom-53878.html
Куриная грудка с грибами и пенне,230.0,10,286,,,,,https://rtw.vkusvill.ru/goods/kurinaya-grudka-s-gribami-i-penne-37923.html
Рамен с курицей в соево-чесночном соусе,300.0,4,310,10.4,7.9,36.4,195.3,https://rtw.vkusvill.ru/goods/ramen-s-kuritsey-v-soevo-chesnochnom-souse-53807.html
"Сэндвич ролл с курицей, кабачком и соусом песто, 185 грамм",185.0,0,210,10.5,7.9,20.4,194.7,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-kabachkom-i-sousom-pesto-185-gramm-68088.html
Чиабатта с индейкой су-вид и горчичным соусом,210.0,14,237,15.9,13.3,29.8,302.5,https://rtw.vkusvill.ru/goods/chiabatta-s-indeykoy-su-vid-i-gorchichnym-sousom-68413.html
"Салат из баклажанов и моркови по-корейски, 200 г",200.0,6,150,1.1,5.7,11.1,100.1,https://rtw.vkusvill.ru/goods/salat-iz-baklazhanov-i-morkovi-po-koreyski-200-g-84817.html
Шаурма с курицей_РП,200.0,0,163,8.6,9.6,23.1,213.2,https://rtw.vkusvill.ru/goods/shaurma-s-kuritsey-rp-77232.html
Суп «Харчо»,390.0,8,198,,,,,https://rtw.vkusvill.ru/goods/sup-kharcho-18360.html
"Борщ «Украинский» с курицей, 1 кг",1000.0,21,430,3.2,1.3,10.8,67.7,https://rtw.vkusvill.ru/goods/borshch-ukrainskiy-s-kuritsey-1-kg-35099.html
Лапша рисовая с морепродуктами,180.0,0,238,3.5,5.5,16.7,130.3,https://rtw.vkusvill.ru/goods/lapsha-risovaya-s-moreproduktami-60874.html
Пенне с грибами и овощами,200.0,4,160,6.3,4.1,32.9,193.7,https://rtw.vkusvill.ru/goods/penne-s-gribami-i-ovoshchami-34511.html
Пирог с зеленью и яйцом,300.0,4,272,9.4,12.7,22,239.9,https://rtw.vkusvill.ru/goods/pirog-s-zelenyu-i-yaytsom-56887.html
Хачапури с сыром,95.0,2,162,13.4,14.4,28.5,297.2,https://rtw.vkusvill.ru/goods/khachapuri-s-syrom-40109.html
Онигири с крабом,100.0,2,198,6.8,1.1,36.4,182.7,https://rtw.vkusvill.ru/goods/onigiri-s-krabom-81777.html
Патэ из птицы с копченой уткой и моченой брусникой,150.0,0,318,16.1,13.8,9.2,225.4,https://rtw.vkusvill.ru/goods/pate-iz-ptitsy-s-kopchenoy-utkoy-i-mochenoy-brusnikoy-81475.html
Тефтели с картофельным пюре,240.0,2,206,8.7,6,11.3,134,https://rtw.vkusvill.ru/goods/tefteli-s-kartofelnym-pyure-61149.html
