name,price,quantity
"Салат с курицей и ананасами, 180 г",196,1846
Салат с курицей и апельсиновой заправкой,256,680
Салат с курицей и жареными шампиньонами,188,1544
"Салат с курицей и жареными шампиньонами, 180 грамм",188,320
"Салат с курицей, ананасами и сельдереем",188,842
"Салат с курицей, ананасами и сельдереем, 300 г",368,740
"Салат с курицей, сыром «Фета» и виноградом",238,484
Салат с мясом индейки и гранатовым соусом,270,240
"Салат с пастрами из индейки, помело и тропическим соусом",348,400
Салат с ростбифом и моцареллой с соусом из томатов,388,280
"Салат с рукколой и моцареллой, 150 г",276,392
"Салат с тунцом, фасолью и яблоком",216,1226
Салат свекольный с грецким орехом,156,2078
"Салат свекольный с грецким орехом, 200 грамм",156,440
"Салат сельдь под шубой, 300 г",258,3708
"Салат сельдь под шубой, 600 г",520,500
Салат фасолевый с шампиньонами и грецким орехом,190,866
"Самса с курицей, 120 г",188,352
Солянка из семги и форели,228,690
Солянка мясная с копченостями и каперсами,288,470
Сосиска в слоеном тесте с сыром и горчицей,173,270
"Сосиска в тесте (свинина, говядина), 2 шт.",185,900
Сосиски куриные с картофельным пюре,208,738
"Спагетти «Болоньезе», 260 грамм",208,240
Спагетти Болоньезе Эмилия Романья,348,300
Спагетти с фрикадельками из индейки в томатном соусе,210,580
Спаржа с морковью по-корейски,115,1498
Стейк из куриного филе на гриле с брокколи на пару,248,480
Стейк из лосося с картофельным пюре,386,660
Суп «Гороховый» с копчёностями,208,1924
"Суп «Гороховый» с копчёностями, 1кг",490,444
"Суп «Гороховый» с копчёностями, 390 грамм",188,280
"Суп «Гороховый» с копченостями, 580 г",290,180
Суп «Куриный» с домашней лапшой,176,5972
"Суп «Куриный» с домашней лапшой, 1 кг",420,1022
"Суп «Куриный» с домашней лапшой, 390 грамм",176,420
Суп «Рамен» с индейкой,270,584
Суп «Рассольник» вегетарианский с грибами и сельдереем,166,300
Суп «Рассольник» с курицей,186,992
"Суп «Рассольник» с курицей, 1 кг",430,324
"Суп «Рассольник» с курицей, 390 грамм",176,100
Суп «Том ям» вегетарианский,198,840
"Суп «Уха», 270 г",188,562
Суп «Харчо»,198,772
Суп «Харчо» из баранины (с грецкими орехами и соусом ткемали),338,300
"Суп «Харчо», 1 кг",510,201
Суп «Чучвара» с пельменями из говядины и баранины,268,280
Суп из шпината с филе лосося,198,670
Суп по-деревенски с курицей,178,1764
Суп с куриными фрикадельками и пастой «Звездочки»,158,3176
Суп с фрикадельками из индейки,168,1548
Суп солянка с каперсами,188,340
Суп Том ям с курицей,226,1364
Суп щавелевый с курицей,170,1020
Суп-крем куриный,188,1660
"Суп-крем куриный, 1 кг",560,140
"Суп-крем куриный, 270 грамм",188,360
Суп-крем овощной,154,380
"Суп-пюре «Сырный» с гренками, 260 г",268,1850
Суп-пюре норвежский с семгой,228,600
Суп-пюре с грибами,188,2540
Сырники без добавления сахара с курагой,198,1578
"Сырники из творога, кафе",135,0
Сырники с абрикосовой начинкой,166,492
Сырники с малиновой начинкой,155,510
"Сырники с малиновой начинкой, 120 грамм",155,184
"Сырники с малиновой начинкой, 480 г",504,518
Сырники творожные,610,105
Сырники творожные с брусничной начинкой,155,650
Сырники творожные с клубничной начинкой,155,710
Сырники творожные с яблочной начинкой,156,855
